endpoint,scenario,target_power,required_n_equal_strata,required_n_observed_strata,status_equal_strata,status_observed_strata,imbalance_penalty_n,penalty_status,analysis_mode,power_scope
heavy_drinking_30d,pilot_observed,0.8,11822,12603,reached,reached,781,non_negative,observational,a_priori_interaction
heavy_drinking_30d,pilot_observed,0.85,13524,14416,reached,reached,892,non_negative,observational,a_priori_interaction
heavy_drinking_30d,pilot_observed,0.9,15826,16871,reached,reached,1045,non_negative,observational,a_priori_interaction
heavy_drinking_30d,pilot_observed,0.95,19573,20865,reached,reached,1292,non_negative,observational,a_priori_interaction
heavy_drinking_30d,pilot_observed,0.99,27673,29499,reached,reached,1826,non_negative,observational,a_priori_interaction
heavy_drinking_30d,pilot_observed,0.999,38415,40950,reached,reached,2535,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.8,1640,1732,reached,reached,92,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.85,1875,1981,reached,reached,106,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.9,2195,2318,reached,reached,123,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.95,2714,2867,reached,reached,153,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.99,3837,4053,reached,reached,216,non_negative,observational,a_priori_interaction
heavy_drinking_30d,conservative_benchmark,0.999,5326,5627,reached,reached,301,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.8,12124,13324,reached,reached,1200,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.85,13869,15241,reached,reached,1372,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.9,16230,17836,reached,reached,1606,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.95,20072,22058,reached,reached,1986,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.99,28379,31187,reached,reached,2808,non_negative,observational,a_priori_interaction
ebac_legal,pilot_observed,0.999,39395,43293,reached,reached,3898,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.8,13813,15219,reached,reached,1406,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.85,15800,17409,reached,reached,1609,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.9,18491,20374,reached,reached,1883,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.95,22868,25197,reached,reached,2329,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.99,32332,35624,reached,reached,3292,non_negative,observational,a_priori_interaction
ebac_legal,conservative_benchmark,0.999,44882,49453,reached,reached,4571,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.8,242310,264626,reached,reached,22316,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.85,277180,302708,reached,reached,25528,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.9,324384,354259,reached,reached,29875,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.95,401172,438118,reached,reached,36946,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.99,567193,619430,reached,reached,52237,non_negative,observational,a_priori_interaction
ebac_tot,pilot_observed,0.999,787372,859886,reached,reached,72514,non_negative,observational,a_priori_interaction
